TrueLabel,PredictedLabel
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Stop
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Maju
Maju,Stop
Maju,Maju
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Kiri
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Kiri
Stop,Stop
Stop,Stop
Stop,Kiri
Stop,Stop
Stop,Kiri
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Stop
Stop,Kiri
Stop,Stop
Stop,Stop
Stop,Stop
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Stop
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Stop
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Stop
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kiri,Kiri
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Stop
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Stop
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Stop
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
Kanan,Kanan
